100castles,城名,都道府県,市区町村,緯度,経度,入場料（大人）,共通券内観光スポット1,共通券料金1,共通券内観光スポット2,共通券料金2,参考HP,イラストURL,アイコンURL,写真URL
1,根室半島チャシ跡群,北海道,根室市,43.3887273,145.7824096,0,,,,,https://www.nemuro-kankou.com/tourism/ainuchashi/,,,
2,五稜郭,北海道,函館市,41.7971839,140.7568306,500,,,,,http://www.hakodate-bugyosho.jp/guide.html,https://code4sabae.github.io/shirostamp100/img/landmark_goryoukaku.png,https://code4sabae.github.io/shirostamp100/icon/landmark_goryoukaku.png,
3,松前城,北海道,松前町,41.4299007,140.108412,360,,,,,http://www.asobube.com/database.cgi?dbkonum=0&dbnum=8,,,
4,弘前城,青森県,弘前市,40.6074516,140.4641804,310,弘前城植物園,510,,,http://www.hirosakipark.jp/,,,
5,根城,青森県,八戸市,40.5058021,141.4623075,250,博物館,400,,,http://www.hachinohe.ed.jp/haku/hiroba.html,,,
6,盛岡城,岩手県,盛岡市,39.6999544,141.1479233,0,,,,,http://www.city.morioka.iwate.jp/shisei/midori/koen/1010491.html,,,
7,多賀城,宮城県,多賀城市,38.2952022,140.9827552,0,,,,,http://www.tagakan.jp/category/detail.php?id=8,,,
8,仙台城,宮城県,仙台市,38.2544625,140.8502011,0,,,,,http://honmarukaikan.com/date/sendaijo.htm,,,
9,久保田城,秋田県,秋田市,39.7224884,140.1217534,0,,,,,http://www.city.akita.akita.jp/city/ed/st/osumiyagura/default.htm,,,
10,山形城,山形県,山形市,38.1985928,140.2246166,0,,,,,http://www.city.yamagata-yamagata.lg.jp/shiseijoho/sub14/koen/ecb45kajou.html,,,
11,二本松城,福島県,二本松市,37.5986488,140.4277994,0,,,,,http://www.city.nihonmatsu.lg.jp/site/kankou/511.html,,,
12,会津若松城,福島県,会津若松市,37.487824,139.927477,410,会津武家屋敷、野口英世青春館,1000,,,http://www.tsurugajo.com/turugajo/shiro-top.html,,,
13,白河小峰城,福島県,白河市,37.132411,140.2115032,0,,,,,http://shirakawa315.com/sightseeing/komine.html,,,
14,水戸城,茨城県,水戸市,36.3747514,140.4767657,0,,,,,http://www.mitokoumon.com/kankou/%E6%B0%B4%E6%88%B8%E5%9F%8E%E5%9D%80%EF%BC%88%E4%BA%8C%E3%81%AE%E4%B8%B8%E5%B1%95%E7%A4%BA%E9%A4%A8%EF%BC%89.html,,,
15,足利氏館,栃木県,足利市,36.3375072,139.4500917,0,,,,,http://www.sengoku.jp.net/kanto/shiro/ashikagashi-yakata/,,,
16,箕輪城,群馬県,高崎市,36.4049555,138.9487678,0,,,,,http://www.city.takasaki.gunma.jp/kankou/history/minowazyoushi.html,,,
17,金山城,群馬県,太田市,36.316845,139.3749143,0,,,,,http://www.city.ota.gunma.jp/005gyosei/0170-009kyoiku-bunka/topics/nyumon.html,,,
18,鉢形城,埼玉県,寄居町,36.1065743,139.1940873,0,,,,,https://www.town.yorii.saitama.jp/site/rekishikan/kouenannai.html,,,
19,川越城,埼玉県,川越市,35.9244802,139.4895383,100,市立博物館、市立美術館,370,市立博物館、市立美術館、川越まつり会館,600,http://museum.city.kawagoe.saitama.jp/hommaru/,,,
20,佐倉城,千葉県,佐倉市,35.722386,140.2139217,0,,,,,http://www.city.sakura.lg.jp/0000000987.html,,,
21,江戸城,東京都,千代田区,35.6877513,139.7525013,0,,,,,http://www.kunaicho.go.jp/event/higashigyoen/higashigyoen.html,,,
22,八王子城,東京都,八王子市,35.652765,139.2541586,0,,,,,http://www.city.hachioji.tokyo.jp/kankobunka/003/005/p005201.html,,,
23,小田原城,神奈川県,小田原市,35.2509537,139.1513249,500,常磐木門,600,常磐木門、小田原城歴史見聞館,700,http://www.city.odawara.kanagawa.jp/kanko/odawaracastle/,https://code4sabae.github.io/shirostamp100/img/shiro_odawarajou.png,https://code4sabae.github.io/shirostamp100/icon/shiro_odawarajou.png,
24,武田氏館 武田神社,山梨県,甲府市,35.6869648,138.5747726,0,,,,,http://www.takedajinja.or.jp/,,,
25,甲府城,山梨県,甲府市,35.6652788,138.5691437,0,,,,,https://www.city.kofu.yamanashi.jp/welcome/rekishi/kofujyou.html,,,
26,松代城,長野県,長野市,36.5660163,138.193845,0,,,,,http://www.sanadahoumotsukan.com/,,,
27,上田城,長野県,上田市,36.4061596,138.2308484,300,,,,,http://www.ueda-cb.gr.jp/uedajo/,,,
28,小諸城,長野県,小諸市,36.3320521,138.3854852,500,,,,,http://www.kanko.komoro.org/midokoro/kaikoen.html,,,
29,松本城,長野県,松本市,36.2386563,137.9667664,610,,,,,http://www.matsumoto-castle.jp/splash,,,
30,高遠城,長野県,伊那市,35.8334202,138.0600325,0,,,,,http://www.inacity.jp/shisetsu/koenshisetsu/takatojoshikoen.html,,,
31,新発田城,新潟県,新発田市,37.9279367,139.3012556,0,,,,,http://shibata-info.jp/archives/sightseeing/%E6%96%B0%E7%99%BA%E7%94%B0%E5%9F%8E%EF%BC%88%E5%9B%BD%E6%8C%87%E5%AE%9A%E9%87%8D%E8%A6%81%E6%96%87%E5%8C%96%E8%B2%A1%EF%BC%89,,,
32,春日山城,新潟県,上越市,37.1491434,138.211568,0,,,,,http://joetsukankonavi.jp/spot.php?id=133,,,
